review_id,movie_id,summary,content,ground_truth_subjectivity,ground_truth_polarity,sarcasm_score,sarcasm_label,sarcasm_triggers
rw3229583,tt2395427,Remember the amazing teaser trailer? Expect the opposite.,"There's no one word that can some up this movie. I won't use 'eh' because that's a bit too vague, and I think it's a bit better than that. But things like 'good' or 'amazing' are too crazy to use. Welcome to my review.  Age of Ultron opens to a fine start -in fact, an amazing start- with a fresh, intense, action-packed sequence. The Avengers are introduced for the sequel, and so are two new characters: Scarlet Witch and Quicksilver. These ended up being my favourite (Yes, I'm spelling it right. I'm not American, y'know) characters in this movie. Unfortunately, they get tossed a side a bit. Considering they're new characters, and considering one is in an upcoming movie and the other dies, they should have gotten more development. I adored Scarlet Witch and her powers, at least in the parts that she's ACTUALLY IN.  After the opening, everything goes downhill, at least SLIGHTLY. Ultron's introduction is quite terrible. Can anyone explain to me how this invisible force can suddenly SPEAK inside a whole load of technological material? I don't know... It just felt pretty dumb to me. If this was how it was in the comics, then I suppose I can't really complain much. But I guess I could say that it doesn't translate to screen very well.   After that, the movie becomes kind of dull. I kept twitching in my seat various different times. If I can say one thing, it's that the action sequences were fantastic, and they're the only things that hold this movie up. Ultron was nothing like he was in the teaser trailer that got me hyped, nor was the movie. I wanted a dark, gritty, intense, heart-breaking, half-horror movie! The advertising for this movie is false, almost to the point where I could sue. Remember Scarlet's gut-wrenching scream, or maybe Ultron saying ""There's no strings on me"" in the teaser trailer? Well guess what? Nowhere to be found.   But there's one last thing that makes me feel at least a bit satisfied with the movie, and that was the last act. When Ultron's plans were finally revealed, everything turned amazing. The CGI effects were absolutely incredible, and there are shots in the trailers that would reveal his plan if they were extended by a few seconds, so keep an eye out...  By the end of this review, I can finally figure out one word to sum this up. 'Overrated.'  You can mark this review as unhelpful, but I don't care. It's my opinion. This movie is definitely NOT a must see, but I guess it is for any fans of the comics.  Just be prepared for a completely different film to the film marketed in the trailers.. Thank you for reading, and I know that at least somebody will agree with me.  EDIT:  So I was sippy sipping on my mug of tea and I almost spat it out all over my screen. This movie is rated 7.9. I have now changed my 6/10 rating to 1/10 simply to try and lower the rating to what it deserves.   Before you Marvel nerds attack me, I am doing this because this movie is average at most. You are crazy if you rate it higher than 6.  Goodbye.",SUBJECTIVE,NEGATIVE,1.0,sarcastic,"positive_negative_conflict, contrast_flip, multiple_question_marks, all_caps_emphasis, scare_quotes_positive"
rw4917908,tt4154796,Total Rubbish,I watch probably 1 movie on an average every week from last 3 years and have watched a lot of boring movies but this is the first time I could not watch a movie to the end Can't be more boring movie then this,SUBJECTIVE,NEGATIVE,0.0,not_sarcastic,
rw4810888,tt4154796,ABSOLUTE MUD,One of the worst movies I've ever seen. A terrible way to wrap up 22 movies. Absolute garbage.,SUBJECTIVE,NEGATIVE,0.0,not_sarcastic,
rw7246864,tt4154796,A Blob Of A Movie,"Did this movie actually require ANY actors at all?  Surely you can get a few people to yell ""noooooooo!"" or look deeply into a computer screen.  This movie is a horrific mess of ideas, none of which is remotely interesting but serve as strictly a distraction to inject silly heroic moments between people you were probably invested in. You know...people in spandex acting in front of VERY fake looking backgrounds with VERY fake characters. Such as this Thanos guy.  Ugh.  And then inject the flick with serious actors such as Rene Russo, Michelle Pfeiffer and Robert Redford. Mostly to have that silly curtain call at the end.  By the way, was it in everyone's contract to have a glib line? Is everyone suppose to be funny in the face of danger? Or a serious moment. This is a project that never trusted its content OR decided that it's pure trash cinema.  This was exhausting to watch. Which focused on two characters that seem to ruin the idea of the Avengers. First was the maudlin long-dead but once innocent Steve Rogers (Chris Evans)/Captain America. A movie so woke it can't even bring itself to call him Captain America. Then the death of Iron Man/Stark (Robert Downey Jr.) Can't even remember his first name. Joey, or Joe or Pete or something. Jesus...who cares?!  When characters died, it left no void, because it just moved on. The death of Natasha/Black Widow (Scarlett Johansson) was done in the lamest possible way. A sacrifice to gather a stone? No dudes, get rid of Hawkeye or whatever that guy's name was. Keep the hot chick.  This was a movie simply to get to the end. Treading on similar territory as ""Infinity War"" and...zzzzzz.... A movie by committee of dunces.",SUBJECTIVE,NEGATIVE,0.375,possible_sarcasm,"multiple_question_marks, exaggerated_punctuation, all_caps_emphasis"
rw4297850,tt4154756,Not a very good movie,"The main reason i'm giving this movie 1/10 is because this one doesn't deserve the current rating that it has(at the moment of writing this is 8.6, I would refer to other current movie ratings at the moment of writing this review). A rating of 8.6 means that this movie is as good as The matrix(8.7), Saving private Ryan(8.6), Memento(8.5), Interstellar(8.6) and also that it is better than Mr. Nobody(7.9) and Synecdoche, New York(7.5), etc.   This is the result of a movie with lots of fans who don't have any idea how to rate a movie and usually haven't seen much. at the most I would give this movie a 5.3, it is not so bad and it's enjoyable not memorable. Too many jokes and this is not a comedy, it doesn't seem to have a script not giving a chance for the actors to actually act.  In the movie they combine cinematography of some of the other movies related to this franchise, so in some instances the quality drops really low to the point you feel as if you're watching a really bad TV series, most CG effects are on point and sometimes not(the hulk buster).  I personally don't understand who would give a score of 10/10 or 9/10 so easily to a movie no one will remember next year.",SUBJECTIVE,NEGATIVE,0.375,possible_sarcasm,phrase:\bas if\b
rw4532852,tt4154756,Over it,All my favourites died if they don't come back in the next one I will never watch another marvel movie again so help me god,SUBJECTIVE,NEGATIVE,0.0,not_sarcastic,
rw6110388,tt4154756,Worst Avengers sequel,Waste of time. Didn't understand Whether Thanos is Hero or the Averages. I think the Storywriter is himself confused.,SUBJECTIVE,NEGATIVE,0.0,not_sarcastic,
rw4561120,tt1825683,Boring as Hell,"This movie was so boring and drawn out I couldn't get through half of it. I tried twice, because I kept hearing people on tv say it was so good. I thought I would get used to the Jamaican accent, like I did with Braveheart 's accent after a while, but it was just horrific.",SUBJECTIVE,NEGATIVE,0.0,not_sarcastic,
rw4900567,tt1825683,I was bored out of my mind and don't understand the praise this movie got..,"After finally watching the movie I'm incredibly disappointed. I don't understand how this is so highly praised by both critics and audiences.  I cringed throughout most of the movie. Let's leave aside all the plot holes and other nonsense. I found the portrayal of black people in this movie downright insulting.  The movie is desperately trying to be PC. But the superior black Wakandan race in the movie is insanely stereotypical. I mean, skip all the weird nonsense about this superior, warrior, genius race of black people hiding all their superior tech from the ""colonizers"" and others.  From the accents to the dancing it's revoltingly insultinging towards black people. It's like some white dude thought of the most stereotypical stuff he could imagine about black people. Then watched a few documentaries about remote African tribes and mixed them all together. I was waiting for them to start yelling ""UGA BUGA"" it was insane. The only reason why this movie isn't slammed into the ground for being incredibly tackles, is because the black people in this imaginary country are basically a superior race. But for some reason they still fight with spears, have stereotypical accents, bones trough their noses and plates trough their lips, as if they are some backward tribe. Why don't they have guns? Why the accents? No other group of people in these super hero movies have such accents. Thor doesn't speak with a stereotypical Norse accent and his people aren't all white. Why do they base their king on who is the strongest? Why do they constantly do weird stereotypical dances with literally everything. Every time they all meet everyone starts to shake their body while making weird noises, barking etc.   OK.. Humor me for a second. Imagine if they make a movie about an Asian hero and call it ""yellow tiger"". The hero comes from a superior Asian race and their culture is a mix of the most stereotyped parts of all kinds of different Asian peoples and they all speak ""Engrish"" with a heavy ""Asian"" accent, walk around in straw hats, bow after every sentence etc etc. Can you imagine how insulting that would be for Asians?   Also movie takes this weird American idea of ""black people"" like all black people are the same ethnicity / group. Eventhough, like Europeans, Asians, MENA people's they are all different people with different cultures, traditions, languages and values.   I cringed trough every second of this movie. They could have made the Wakandans distinctly African without having to resort to dumb stereotypes.  HO and this one part was INSANE. The Wakandans don't want to help other black Africans or humans in general (but they emphasize black people). Because they don't want refugees and don't want their country to become ""like anywhere else in the world"" (paraphrasing). So much for multi culturalism, humanism and helping those less fortunate.",SUBJECTIVE,NEGATIVE,1.0,sarcastic,"phrase:\bas if\b, phrase:\bso much for\b, phrase:\bgenius\b, multiple_question_marks, all_caps_emphasis"
rw4063719,tt1825683,"Good concept, poorly executed.","Beyond the hype, this film just served as yet another tedious example of a poor script in a played out genre. Lots of great eye-candy but not much more. All sizzle and no steak.",SUBJECTIVE,NEGATIVE,0.0,not_sarcastic,
rw8670251,tt9114286,How do I get my time back?,"This is gotta be by far the worst marvel movie.  Mcu has been lowering quality with every new project but this one took it to a whole other level.  They tried to make an emotive mature drama but never succeeded, movie lacks a linear development of events, lots scenes makes no sense whatsoever and dialogues looks written by 47 people that never gather together to discuss what they were doing.  Cgi is she-hulk quality in some scenes, specially in the suits of the heroes, that's embarrassing.  Namor's acting is painful to watch.  If you wanna feature an emotion on screen there's no reason to yell it out, if the script is good enough.  And the last thing. I will never understand how the BLACK PANTHER movie shows maybe 3 minutes of the actual character on screen, honestly WTF.",SUBJECTIVE,NEGATIVE,0.125,not_sarcastic,all_caps_emphasis
rw8846852,tt9114286,Black Panther died with it's greatest cast. RIP Chadwick Boseman Black Panther,"Black Panther died with it's greatest cast. RIP Chadwick Boseman Black Panther.  Everything makes no sense in this movie. The princess suddenly become Jackie Chan without experience, The Scientist that's so scared to die has joined a war.  A war between two countries that same vibes of The Twilight. Waste of money.  Merman wants to conquer the Land that has it's mightiest super hero, not to mention Captain Marvel.  Everything makes no sense. Black Panther died with Black Panther died with it's greatest cast. RIP Chadwick Boseman.  DC universe is taking back it's throne. RIP Marvel.  That's why Avengers End Game called End Game because it's where Marvel dies.",SUBJECTIVE,NEGATIVE,0.125,not_sarcastic,all_caps_emphasis
rw8843029,tt9114286,Wakanda Whatever,"I did not have much expectation since the death of Chadwick Boseman. The movie is just long and poor. Everything about the movie felt unrealistic even as a science fiction. R. I. P Mr. Boseman.  Everything felt wrong and forced. The only accurate part about the movie is that it felt like Forever to finish. Bad acting does not help either. Dialogue is poor, performances are weak. Boring and waste of time.  Save yourself time and money and do yourself a favor. Don't watch it. I will not be watching if they make any Wakanda sequel.  Don't believe the over-ratings. It is really pretty bad. One of the worst Marvel movies.",SUBJECTIVE,NEGATIVE,0.0,not_sarcastic,
rw7544628,tt3480822,another marvel film with bad...,Why don't they hire real Russian actors or actresses?  They did the same thing with Black Panther with the bad Korean...its a joke and just seems discriminating to my eyes when they over-stereotype a culture or country.,SUBJECTIVE,NEGATIVE,0.0,not_sarcastic,
rw7108413,tt3480822,Trash in terms of Marvel Standards,"Seriously this is it?! The movie is boring and really just drags on. There were hardly any action or fighting scenes and what little they did have was very mediocre. It felt like a spy/agent movie and nothing as good as what Marvel typically puts out. It felt as if they didn't even bother with the story and just quickly threw together something and stuck ""Black Widow"" as the title.",SUBJECTIVE,NEGATIVE,0.5,possible_sarcasm,"phrase:\bas if\b, exaggerated_punctuation"
rw7224603,tt3480822,Boring,Given the fact that her character was so amazing in her other films was probably the reason I was so disappointed. It was just a boring very boring movie. I think I'm done with the avengers series. After watching Black Widow I realize they're running out of material!!! So disappointed.,SUBJECTIVE,NEGATIVE,0.375,possible_sarcasm,"positive_negative_conflict, exaggerated_punctuation"
rw10460743,tt14513804,Just another Disney's big flop!,"Why would a new Captain America movie be bad? Is't the story? Plot? Cast? Or action choreography? Or maybe the special effects and CGI?  Well, to be frank, it's the above!  The story is boring with nothing new or to offer the audience! The bad guy has brain washed the people! So original and never heard off, right? And then come to the plot! If there was one, I wouldn't mind talking about it! And then we come to the main issue why this is and going to be a huge flop! The cast! As actors, they are fine, some of them are amazing as we've seen them in other movies or TV shows, but casting them in the roles they are playing, must've been done when there was a lot booze or smoking weed! They just don't fit! Remember the Eternals casting disaster?! Finally we come to the action or fighting scenes, poorly designed, executed worse and making the Captain's shield flying around beating guys as if it had an AI in it!",SUBJECTIVE,NEGATIVE,1.0,sarcastic,"phrase:\bas if\b, positive_negative_conflict, contrast_flip, multiple_question_marks, exaggerated_punctuation"
rw10325859,tt14513804,Total Disappointment...Magic of Marvel continues to fade,The movie doesn't even get close to the Chris Evans Captain Americas version ( which was not expected) but in spite of all the hype around Ross/Red Hulk ....the Movies simply lacks Marvel secret sauce of letting the story be the hero.... I am disappointed and miss the old marvel movies ...better to watch phase 1 and 2 movies sitting at home.  I wish I can go and meet Kevin F and tell him not to over experiment...stick to few super hero movies but provide quality.....I am so sick of expecting and getting disappointed....please stop this ....before you have to sell Marvel and Disney to a startup.,SUBJECTIVE,NEGATIVE,0.0,not_sarcastic,
rw10565576,tt14513804,A total Abomination. And no I don't pardon the pun,"It's not that this was a terribly stupid story. Or that the fight scenes were ridiculous. Or even that the acting was horrible. All of which are absolutely true. Blacktain America is now the worst movie Marvel has ever made. This movie sets back Marvels reboot at least a decade. There is no way they can go forward with this guy as Captain America ever again. This includes upcoming new Avengers movies. If anyone at Disney has a brain they will pivot to making Bucky the new Captain America before it's too late. I wish I could find one good thing to say about this Abomination, but unfortunately I can't. Everything about this movie was worse than bad. And ever minute of this movie just made me cringe and just plain pissed me off. Less than zero stars or rating. It should sweep the Razzie awards though.",SUBJECTIVE,NEGATIVE,0.0,not_sarcastic,
rw5061070,tt3498820,Marvel - the Quest for Cash,"Sorry Marvel fans but this is 100% no more than a money maker!  I watched this when it was first released but apparently I was so unimpressed that I forgot about it completely! Now, having made the mistake of watching it again I feel the need to make the statement: it is just awful! There is no real story, just the 'convoluted regurgitated, how can we modify this to make this marginally sensible' sort of approach. The acting is cardboard, frankly I wish someone would melt Ironman down and make a nice saucepan out of him, then take Steve Rogers and shove the shield up his.. enough, yes, I was deeply, deeply disappointed with this movie.  The ONLY saving grace for this was as always, the special effects. Ironically because I was so disappointed with the movie I found myself trying to figure out just how much acting the actors actually do? I believe that 75% of all character scenes are actually CGI, therefore, these 'actors' (cardboard) are getting paid heaps of money for doing less and less! Of course that thought process probably didn't help with my overall opinion of the movie!  I will mention that part of the reason I watched this again was because I lost the link for Infinity Wars and Endgame, so I needed to review this to refresh my memory, sadly! I say sadly because I think Infinity Wars should be called ""Marvel the Quest for even more cash' and Endgame; 'Marvel the we want all the cash you have left from our previous mugging sessions'.  I wasn't a comic book kid so perhaps I shouldn't have even watched these movies, believe me, I wish I hadn't because they are long and I could have been doing something that created memories worth having in the time I wasted on these really awful, pointless and terribly acted excursions into nothingness.  One final comment; Benedict, please leave this clan of losers before you, whom are probably THE only actor worthy of a future from these terrible movies, become labeled as a 'comic book' character and lose ALL credibility as a real actor.  Comic book fans; you'll probably love this drivel.",SUBJECTIVE,NEGATIVE,1.0,sarcastic,"phrase:\bof course\b, positive_negative_conflict, contrast_flip, all_caps_emphasis"
rw3610592,tt3498820,Yawn . . . wake me up when it is over,"I'm not quite sure how I got to the end of this movie. I think that Black Panther was the only thing that saved me from falling asleep, being a childhood favourite superhero. His cameos were enjoyable thanks to nostalgia.  The recipe for Captain America : Civil War seems to have been 1 cup American patriotism, 2 cups moral quandary we will forget about by the end of this movie, half a cup of explosions, a pinch of action and a sprinkle of superhero cameos. That action could've saved this film if there was more of it, but really the only enjoyable moment of this flick was the penultimate fight scene that appeared in every trailer.   Everyone seemed to have lost their common sense for the duration of Civil War; characters deified their personalities and beliefs to support things that they'd never be caught dead doing in the past.   And this is where the 1 cup patriotism was liberally stirred in, as we're told to choke down the idea that the governments of the world have any control over superhumans, aliens, magicians, genius inventors with arsenals of exploding gadgets and literal deities. Some of whom are the leaders of countries, dimensions or trillion dollar companies themselves. This follows the preceding film that involved just a small segment of your (not my) favourite heroes destroying the supposedly most powerful organisation in the world.   We're also told to swallow those cups of moral quandary, about how awful it is that innocent people die when the heroes save the day. Ignoring the fact the planet would have been destroyed thrice over by now without them, it is hard to get the claim that the governments only care to do this now, after years of cities being destroyed (though to be truthful, rarely because of the heroes).   Honestly, the plot was so bad it made me want to snore. But the fact that the action was sorely lacking in lustre most of the movie only helped hurt it. Tony Stark's attitude is just annoying at this point, and Captain America fulfills the stereotype of the jock, rushing off without a second thought, and nearly destroying many things in the process.  I think we were supposed to peg this whole plot down to 'friendship is important', but sacrificing your freedom, other friendships and possibly the planet for someone you haven't seen for sixty years? Yeah right.",SUBJECTIVE,NEGATIVE,0.75,sarcastic,"phrase:\byeah right\b, phrase:\bgenius\b"
rw3536832,tt3498820,These movies have become white noise,"I'm confused so much, all these movies sorta blend into each other. Since they are tied together. Hulk, Thor, Cap America, Iron man, etc.... Since the avengers were in this I assumed it was another Avengers movie.  But no it's Captain America: Civil War? Huh? Don't you need the Avengers for a civil war? What it being CIVIL and all. Umm....so confused.  Where is Thor and Hulk, and Loki and and and.....I can go on and on, but you get the point. We really know it was budget issues. They are IN the Avengers, SO why are they not asked to sign? ?????  Confusion. WHY do, ALL OF A SUDDEN, half the avengers seem not to trust Cap???? OH right since that is what the plot needed. This whole movie is just trash. Random spider man and ant man thrown in too, why not? Just whatever at this point. Explosions and random sh*t. Can anyone make sense of these movies anymore?  All started with Cap, the Nazis stole something from Thor/Loki....then he was frozen, woken up....umm Tony Stark's father knew Cap. Umm Cap almost banged Peggy? She did stuff created shield or something....then Hydra got in. Then Loki went crazy, and Thor stopped him, or didn't. Umm then Iron man made suits....Black widow wore tight tight clothes. She was in ballet??? Kissed Cap, but loves Hulk??? Umm....wtf is even happening any more. Robin hood has a secret family??? And who was that guy in a panther suit. RANDOM AS F***! LOL ?????  If you LOVE confusing white noise this is the movie for you!!!!! ""Confusing White Noise: The Movie!""",SUBJECTIVE,NEGATIVE,1.0,sarcastic,"positive_negative_conflict, contrast_flip, multiple_question_marks, exaggerated_punctuation, all_caps_emphasis, mocking_laughter"
rw4029856,tt0458339,should be named Captain A-hole..,"A superhero without any super power. It has high reviews, surely the world is full of dumb people !! The worst superhero of Avengers team, Acting as important one, disgusting. America is a country Which can do cncalmost anything, But superhero like Captain America is a shame for Americans.",SUBJECTIVE,NEGATIVE,0.0,not_sarcastic,
rw2506316,tt0458339,"This movie is the worst film I have ever seen,","This movie is completely stupid and every minute watching it makes me feel a little bit dumber. Everyone is constantly doing the opposite of what every sane person on the planet would do, and the story line is none existing. Every new scene is just some random clich̩ and you can pretty much guess what is going to happen all the time. This is the worst piece of Hollywood bullshit I have seen since ""The Fantastic Four"". How the producers could get some otherwise great actors is totally beyond me.  If you want to see Tommy Lee and Samuel L in a great movie go watch ""The Sunset Limited"". You might actually learn something and be moved by it.  Captain America will most likely just make you ill.  How anyone can like this movie is mind blowing. Humans are really a stupid race sometimes.  I seriously can not stress how much this movie is a waste of time, and if you like it you are properly slightly or moderately retard.",SUBJECTIVE,NEGATIVE,0.25,not_sarcastic,positive_negative_conflict
rw2597677,tt0458339,...It wasn't as bad as Thor...,"Steve Rogers was a bit clich̩, but then the movie was about the 1940s, so clich̩s were common. There's really no way to spoil this movie, if you know anything about Captain America. Also the movie is mostly gun fights and explosions, just like a Michael Bay movie! The premise is an American made Superman through science. A lot of experiments when on during the 1940s, we invented the atom bomb, etc. So a scientist making a super soldier would have been on their ""To Do"" list, if it were an option. As for characters, Steve Rogers wasn't that clich̩, or at least, I didn't think so. He didn't have too many emotions though. He's not witty or charming. He's just your standard save-the-day super hero.I did enjoin the scenes where he used his brain instead of brawn, but those scenes are scarce indeed. The other characters were so bland, I can't even remember their names. There was ""Uncle Ben"" as the scientist. ""Lois Lane"" as the only female main character. Tommy Lee Jones as a stereotypical colonel( it was his dialogue, not his fault!), and there was the best friend. Not a whole lot of character development. Actually, now that I think about it, there wasn't any...Steve Rogers stays exactly the same through out the movie. He doesn't reach some profound understanding of anything. He just fights a lot and blows things up. I'm not joking, the movie is 70-80% explosions and gun fights. The whole movie is just to set up the back story for that Avengers movie, just like Thor! But everyone knew that from the title!",SUBJECTIVE,NEGATIVE,0.0,not_sarcastic,
rw3235633,tt1843866,Numbers Game,"Robert Redford is willing to sacrifice hundreds of millions for the lives of billions, the 'good guys' are willing to kill hundreds to save the lives of those hundreds of millions. Both are playing a numbers game, the only difference is that Redford's is on a bigger scale and isn't hypocritical, he acknowledges the human cost, the 'good guys' treat the hundreds of soldiers they kill (and the many civilian casualties resulting from their lavish tactics) simply as necessary to get the job done. This is a fight of visionaries against hypocrites, and hypocrites win. An awful message, an awful movie. It also has the standard 'just in the nick of time' tropes, ridiculous and impossible fight scenes, a frankly annoying score and the ever-loathable Samuel L Jackson.",SUBJECTIVE,NEGATIVE,0.0,not_sarcastic,
rw3009936,tt1843866,the stench explodes,"I was forced to watch this horror by people who should have known me better. (The only movie I really wanted to watch this week was a Polish film, Ida, which was playing nowhere).  Godalmighty, what a stinker this was. Character development? None. Dialogue? Laughable. Plot? Who knows.  Against a ridiculous and badly done Washington process screen, I saw a ton of cgi star trek crap, mostly consisting in four-frame quick-cut scenes of people (?} kicking each other to no effect, a hell of a lot of useless machine-gun fire to equal effect, and explosions filling the screen followed by firy explosions filling self-same screen, giving way to yet more kicking and firy explosions.  It did occur to me that I was not the target audience for this total crap, but then, as I have said, I was dragged to it.",SUBJECTIVE,NEGATIVE,0.125,not_sarcastic,multiple_question_marks
